# fwhFoam: Sound Pressure Level
# Observer 3  position (20 0 0)
# pRef = 2e-05 Pa
# 
# frequency [Hz]    SPL [dB]
0	-114.29105
0.1	-140.1792
0.2	-147.5179
0.3	-149.61132
0.4	-149.34527
0.5	-149.55484
0.6	-149.66261
0.7	-150.03794
0.8	-150.54963
0.9	-150.84521
1	-151.39689
1.1	-151.99514
1.2	-152.35816
1.3	-152.90164
1.4	-153.27115
1.5	-153.39231
1.6	-153.67439
1.7	-153.75164
1.8	-153.82987
1.9	-154.12316
2	-154.27818
2.1	-154.55786
2.2	-154.93604
2.3	-155.10947
2.4	-155.37008
2.5	-155.55236
2.6	-155.56982
2.7	-155.74246
2.8	-155.86208
2.9	-155.99796
3	-156.32291
3.1	-156.57032
3.2	-156.87519
3.3	-157.21458
3.4	-157.392
3.5	-157.61439
3.6	-157.79379
3.7	-157.92155
3.8	-158.16732
3.9	-158.38203
4	-158.61934
4.1	-158.90442
4.2	-159.06888
4.3	-159.22569
4.4	-159.32953
4.5	-159.36705
4.6	-159.45794
4.7	-159.51502
4.8	-159.59253
4.9	-159.66828
5	-165.69156
