# fwhFoam: acoustic pressure time history
# Observer 3  position (20 0 0)
# 
# time [s]          p' [Pa]
0.1	7.4460196e-11
0.2	6.0289007e-11
0.3	5.1054657e-11
0.4	4.9195344e-11
0.5	4.8199723e-11
0.6	4.7655855e-11
0.7	4.7897223e-11
0.8	4.8488022e-11
0.9	4.92878e-11
1	5.0282909e-11
1.1	5.1630659e-11
1.2	5.279556e-11
1.3	5.3478099e-11
1.4	5.4308842e-11
1.5	5.5063785e-11
1.6	5.5751405e-11
1.7	5.6365427e-11
1.8	5.6903344e-11
1.9	5.7365053e-11
2	5.7752459e-11
2.1	5.8068651e-11
2.2	5.8316681e-11
2.3	5.8505752e-11
2.4	5.8642244e-11
2.5	5.8726179e-11
2.6	5.8767324e-11
2.7	5.8770257e-11
2.8	5.8738938e-11
2.9	5.8678765e-11
3	5.8592711e-11
3.1	5.8489664e-11
3.2	5.8369398e-11
3.3	5.8233206e-11
3.4	5.8087607e-11
3.5	5.7931414e-11
3.6	5.7742247e-11
3.7	5.7448177e-11
3.8	5.7194573e-11
3.9	5.7086506e-11
4	5.6929404e-11
4.1	5.6768326e-11
4.2	5.6606187e-11
4.3	5.6444691e-11
4.4	5.6283466e-11
4.5	5.6124563e-11
4.6	5.5969053e-11
4.7	5.5816436e-11
4.8	5.5668341e-11
4.9	5.5524268e-11
5	5.5383667e-11
5.1	5.5247832e-11
5.2	5.5117104e-11
5.3	5.4990771e-11
5.4	5.4868786e-11
5.5	5.4751719e-11
5.6	5.4639378e-11
5.7	5.4529646e-11
5.8	5.4422552e-11
5.9	5.4322652e-11
6	5.4226298e-11
6.1	5.413384e-11
6.2	5.4045202e-11
6.3	5.3957548e-11
6.4	5.3873387e-11
6.5	5.3794805e-11
6.6	5.3717838e-11
6.7	5.3643911e-11
6.8	5.3571111e-11
6.9	5.3499875e-11
7	5.3430771e-11
7.1	5.3362571e-11
7.2	5.3295275e-11
7.3	5.3227626e-11
7.4	5.3160539e-11
7.5	5.3093368e-11
7.6	5.3025234e-11
7.7	5.2956547e-11
7.8	5.2887247e-11
7.9	5.2816673e-11
8	5.2745256e-11
8.1	5.2673237e-11
8.2	5.260023e-11
8.3	5.2526732e-11
8.4	5.2453028e-11
8.5	5.2379249e-11
8.6	5.2305299e-11
8.7	5.2231876e-11
8.8	5.2159568e-11
8.9	5.2087607e-11
9	5.2017e-11
9.1	5.1947859e-11
9.2	5.1879596e-11
9.3	5.181264e-11
9.4	5.1747195e-11
9.5	5.1683084e-11
9.6	5.1619999e-11
9.7	5.1558412e-11
9.8	5.1498033e-11
9.9	5.1436326e-11
10	5.1377224e-11
