# fwhFoam: FFT magnitude spectrum
# Observer 3  position (20 0 0)
# 
# frequency [Hz]    |P(f)| [Pa]
0	5.4574836e-11
0.1	2.7706725e-12
0.2	1.190283e-12
0.3	9.3536079e-13
0.4	9.6445447e-13
0.5	9.4146288e-13
0.6	9.2985356e-13
0.7	8.9052893e-13
0.8	8.3958273e-13
0.9	8.114922e-13
1	7.615533e-13
1.1	7.1086653e-13
1.2	6.8176842e-13
1.3	6.4041712e-13
1.4	6.1374449e-13
1.5	6.0524253e-13
1.6	5.8590244e-13
1.7	5.8071501e-13
1.8	5.755083e-13
1.9	5.563997e-13
2	5.4655761e-13
2.1	5.2923902e-13
2.2	5.0669091e-13
2.3	4.9667385e-13
2.4	4.8199334e-13
2.5	4.7198385e-13
2.6	4.7103576e-13
2.7	4.6176604e-13
2.8	4.5545006e-13
2.9	4.4838101e-13
3	4.3191602e-13
3.1	4.1978687e-13
3.2	4.053085e-13
3.3	3.8977681e-13
3.4	3.8189569e-13
3.5	3.7224215e-13
3.6	3.6463266e-13
3.7	3.5930837e-13
3.8	3.4928406e-13
3.9	3.4075613e-13
4	3.3157225e-13
4.1	3.2086627e-13
4.2	3.1484789e-13
4.3	3.0921507e-13
4.4	3.0554024e-13
4.5	3.0422345e-13
4.6	3.0105654e-13
4.7	2.9908444e-13
4.8	2.9642763e-13
4.9	2.9385342e-13
5	1.4688143e-13
