# fwhFoam: Sound Pressure Level
# Observer 2  position (10 0 0)
# pRef = 2e-05 Pa
# 
# frequency [Hz]    SPL [dB]
0	-102.07661
0.1	-128.29364
0.2	-136.60822
0.3	-137.00978
0.4	-136.03928
0.5	-136.04249
0.6	-136.08691
0.7	-136.39749
0.8	-136.85724
0.9	-137.14627
1	-137.64445
1.1	-138.19477
1.2	-138.5549
1.3	-139.05858
1.4	-139.44498
1.5	-139.62357
1.6	-139.92783
1.7	-140.07849
1.8	-140.19744
1.9	-140.48985
2	-140.67587
2.1	-140.93421
2.2	-141.29864
2.3	-141.50387
2.4	-141.75856
2.5	-141.98607
2.6	-142.0398
2.7	-142.18893
2.8	-142.30775
2.9	-142.37749
3	-142.60383
3.1	-142.79356
3.2	-142.98962
3.3	-143.27305
3.4	-143.43576
3.5	-143.58435
3.6	-143.74442
3.7	-143.78582
3.8	-143.88244
3.9	-144.00537
4	-144.07171
4.1	-144.24606
4.2	-144.40829
4.3	-144.51115
4.4	-144.66943
4.5	-144.73716
4.6	-144.74887
4.7	-144.79305
4.8	-144.75258
4.9	-144.72492
5	-150.7762
