# fwhFoam: FFT magnitude spectrum
# Observer 0  position (0.5 0 0)
# 
# frequency [Hz]    |P(f)| [Pa]
0	8.9004609e-08
0.1	4.8853443e-09
0.2	1.1469676e-09
0.3	1.2619737e-09
0.4	1.6871453e-09
0.5	1.7699756e-09
0.6	1.7997868e-09
0.7	1.7597821e-09
0.8	1.6813561e-09
0.9	1.6350307e-09
1	1.552419e-09
1.1	1.4627332e-09
1.2	1.4072433e-09
1.3	1.3316038e-09
1.4	1.2751718e-09
1.5	1.2503232e-09
1.6	1.2086336e-09
1.7	1.1889916e-09
1.8	1.1752851e-09
1.9	1.1389035e-09
2	1.1178085e-09
2.1	1.0887337e-09
2.2	1.0461068e-09
2.3	1.0244237e-09
2.4	9.9738107e-10
2.5	9.7333842e-10
2.6	9.7191495e-10
2.7	9.5981656e-10
2.8	9.5151527e-10
2.9	9.5149181e-10
3	9.3205004e-10
3.1	9.1661882e-10
3.2	9.0174429e-10
3.3	8.7412421e-10
3.4	8.6110783e-10
3.5	8.5103201e-10
3.6	8.3781382e-10
3.7	8.4131638e-10
3.8	8.3875587e-10
3.9	8.3099092e-10
4	8.3235266e-10
4.1	8.1743179e-10
4.2	8.0108368e-10
4.3	7.936426e-10
4.4	7.7559708e-10
4.5	7.6935796e-10
4.6	7.7239775e-10
4.7	7.6881e-10
4.8	7.7828702e-10
4.9	7.8505842e-10
5	3.9024427e-10
